ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
21,Ragnhild Margrethe Aamodt,F,27,163,NA,Norway,NOR,2008 Summer,2008,Summer,Beijing,Handball,Handball Women's Handball,Gold
49,Moonika Aava,F,28,168,65,Estonia,EST,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,NA
63,Jos Luis Abajo Gmez,M,30,194,87,Spain,ESP,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's epee, Individual",Bronze
67,Mariya Vasilyevna Abakumova (-Tarabina),F,22,179,80,Russia,RUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,Silver
69,Tamara Abalde Daz,F,19,185,72,Spain,ESP,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,NA
72,Aleksey Aleksandrovich Abalmasov,M,28,180,83,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
73,Luc Abalo,M,23,182,86,France,FRA,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold
92,Ignazio Abate,M,21,180,73,Italy,ITA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,NA
93,Jol Marc Abati,M,38,190,85,France,FRA,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold
127,Shakeel Abbasi,M,24,165,60,Pakistan,PAK,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,NA
129,Ruslan Abbasov,M,22,181,74,Azerbaijan,AZE,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,NA
130,Tural Abbasov,M,18,182,76,Azerbaijan,AZE,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,NA
143,"Desmond ""Des"" Abbott",M,21,184,87,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze
144,Geoffrey Grant Abbott,M,23,179,80,South Africa,RSA,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,NA
148,"Kathryn ""Katie"" Abbott",F,21,164,63,Canada,CAN,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Women's Three Person Keelboat,NA
153,Monica Cecilia Abbott,F,23,191,88,United States,USA,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Silver
154,Khadija Abbouda,F,40,165,57,Morocco,MAR,2008 Summer,2008,Summer,Beijing,Archery,Archery Women's Individual,NA
156,Mahmoud Abd El-Kader,M,23,195,94,Egypt,EGY,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,NA
157,Mohamed Ibrahim Abd El-Salam,M,26,192,83,Egypt,EGY,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,NA
158,Noha Abd Rabo,F,21,NA,NA,Egypt,EGY,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Women's Heavyweight,NA
159,Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,15,167,60,Egypt,EGY,2008 Summer,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Duet,NA
159,Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,15,167,60,Egypt,EGY,2008 Summer,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,NA
160,Ali Abdalla Afringi,M,25,163,57,Eritrea,ERI,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 5,000 metres",NA
198,Walid Abdel Maksoud,M,29,NA,NA,Egypt,EGY,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,NA
203,Ahmed Abdel Naeim,M,23,197,87,Egypt,EGY,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,NA
212,Yasser Abdel Rahman Sakr,M,30,180,120,Egypt,EGY,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",NA
213,Samy Abdel Razek,M,28,170,60,Egypt,EGY,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Free Pistol, 50 metres",NA
225,Shaimaa Abdel-Latif-Hashad,F,27,165,57,Egypt,EGY,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Women's Air Rifle, 10 metres",NA
231,Mahmod Abdelaly,M,41,NA,NA,Egypt,EGY,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Air Pistol, 10 metres",NA
233,Aziza Abdelfattah,F,17,159,51,Egypt,EGY,2008 Summer,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,NA
